Date,knn
2010-03-24,13.375307743365948
2010-03-26,13.359307802640474
2010-03-29,13.499076989980844
2010-03-30,13.600153849675106
2010-04-08,14.51653839991643
2010-04-26,15.030769348144531
2010-04-28,14.78292311154879
2010-05-07,13.805153920100285
2010-05-14,14.985538556025578
2010-06-03,14.227000016432543
2010-06-04,14.49530762892503
2010-06-11,14.419692332927998
2010-06-22,15.362230667701134
2010-06-24,14.767999942486103
2010-07-07,14.398461415217472
2010-07-09,14.635615348815918
2010-07-20,14.388538507314829
2010-07-21,14.566846113938551
2010-07-27,15.265230692349947
2010-08-02,16.36676920377291
2010-08-10,16.191692205575798
2010-08-16,15.67961546090933
2010-08-17,15.864076907818134
2010-08-19,16.53523063659668
2010-08-23,16.710692185621994
2010-08-26,16.114615513728214
